uid,pt
7956,0
7312,0
3238,0
9453,0
6436,0
9956,0
4635,0
10055,0
9155,0
5692,0
7582,0
9656,0
2367,0
7573,0
7145,0
7159,0
6571,0
7970,0
10709,0
2536,0
6230,0
8704,0
9372,0
9291,0
4937,0
6634,0
324,0
63,0
8177,0
5995,0
6456,0
6719,0
9419,0
7525,0
9980,0
7185,0
4983,0
6568,0
7967,0
2588,0
5990,0
4356,0
9615,0
5571,0
5718,0
2559,0
9191,0
7569,0
1460,0
7399,0
2513,0
8457,0
210,0
367,0
10526,0
4788,0
1444,0
10403,0
9546,0
10700,0
4397,0
1276,0
2805,0
10281,0
4612,0
10689,0
10644,0
7534,0
6583,0
2375,0
10751,0
1142,0
10261,0
7455,0
8798,0
3319,0
3366,0
9992,0
3286,0
7530,0
9406,0
10221,0
10287,0
10347,0
10704,0
7809,0
353,0
9204,0
9270,0
8477,0
10001,0
7337,0
4414,0
8622,0
2687,0
1889,0
51,0
2455,0
2807,0
8146,0
5928,0
7855,0
202,0
3306,0
10299,0
10057,0
9952,0
2585,0
173,0
4498,0
9632,0
9429,0
2770,0
9620,0
2647,0
1883,0
3314,0
10696,0
5471,0
9080,0
1752,0
8339,0
10336,0
5851,0
7180,0
3175,0
8217,0
9920,0
6711,0
3191,0
8734,0
5893,0
5809,0
7865,0
9963,0
3363,0
8460,0
5682,0
6106,0
8438,0
5281,0
4800,0
5338,0
9860,0
1670,0
7304,0
3350,0
6213,0
10762,0
8631,0
8887,0
8921,0
