uid,pt
66711,0
62806,0
62400,0
63196,0
66589,0
68460,0
68222,0
60864,0
60001,0
63500,0
65880,0
69576,0
67593,0
64360,0
66264,0
61501,0
67469,0
64474,0
66505,0
60322,0
66458,0
60166,0
67362,0
64753,0
68813,0
60165,0
62552,0
63103,0
68815,0
67966,0
68874,0
69515,0
63441,0
64093,0
63978,0
59084,0
62224,0
65907,0
65625,0
61837,0
67267,0
63467,0
63581,0
62388,0
67756,0
62665,0
59562,0
66741,0
63436,0
60042,0
64825,0
61488,0
68494,0
59912,0
66008,0
62430,0
67832,0
67645,0
68151,0
60852,0
60393,0
66929,0
59449,0
61926,0
63169,0
66905,0
67746,0
64391,0
60573,0
61856,0
62769,0
59080,0
68759,0
68765,0
67025,0
61085,0
61405,0
60196,0
65027,0
62376,0
69533,0
59952,0
67040,0
69440,0
60318,0
64106,0
60950,0
64984,0
68823,0
65675,0
67576,0
63088,0
63375,0
63933,0
61377,0
65240,0
64661,0
66225,0
66186,0
62555,0
62695,0
68796,0
68310,0
64234,0
67827,0
65505,0
69516,0
63576,0
65152,0
60182,0
65526,0
66467,0
61170,0
61637,0
62044,0
63114,0
61101,0
64514,0
62479,0
60565,0
64879,0
59509,0
59584,0
66426,0
65740,0
66124,0
62865,0
65666,0
65587,0
59588,0
64351,0
66830,0
67853,0
66519,0
63268,0
67119,0
60621,0
63309,0
64652,0
64358,0
59892,0
65585,0
65951,0
68446,0
62291,0
59590,0
63298,0
61853,0
61980,0
65156,0
67181,0
62712,0
59574,0
61285,0
68598,0
66835,0
68436,0
62826,0
62489,0
60496,0
63848,0
65411,0
65093,0
59479,0
64284,0
62751,0
65954,0
64731,0
59965,0
61929,0
61499,0
60163,0
60136,0
63630,0
60058,0
62360,0
61742,0
64144,0
61968,0
67802,0
61181,0
63514,0
63027,0
59674,0
67863,0
65682,0
61255,0
67716,0
63037,0
66082,0
60455,0
61097,0
66831,0
65490,0
59636,0
67179,0
60137,0
66746,0
65162,0
60881,0
64478,0
62790,0
60656,0
59182,0
68033,0
62389,0
67117,0
64399,0
65575,0
68634,0
64618,0
62322,0
67983,0
62499,0
69730,0
66765,0
59244,0
62819,0
64026,0
63198,0
60572,0
65269,0
68397,0
68159,0
60674,0
59614,0
68069,0
64045,0
66407,0
64762,0
62266,0
60117,0
59907,0
65129,0
66569,0
64472,0
66413,0
66087,0
60792,0
63993,0
60883,0
63138,0
65249,0
64290,0
63203,0
65995,0
64173,0
60749,0
66955,0
62697,0
63946,0
59500,0
69734,0
62329,0
67888,0
60671,0
62366,0
63193,0
63194,0
62328,0
61198,0
61579,0
61895,0
60536,0
66477,0
62318,0
59736,0
68003,0
62190,0
65886,0
66507,0
63642,0
65800,0
68505,0
60007,0
59664,0
67830,0
60798,0
62796,0
65247,0
66133,0
66671,0
67172,0
62109,0
64736,0
66139,0
66550,0
66949,0
67202,0
65286,0
66601,0
63162,0
68076,0
60139,0
66675,0
66975,0
63690,0
59416,0
60374,0
67301,0
67788,0
66730,0
63636,0
65124,0
60548,0
67801,0
60542,0
66074,0
63200,0
67714,0
59431,0
63195,0
63682,0
60466,0
65134,0
66345,0
59679,0
64519,0
65865,0
66780,0
66434,0
61529,0
63644,0
62934,0
66354,0
60425,0
65867,0
62238,0
67076,0
61868,0
63210,0
62908,0
59150,0
63023,0
66372,0
66902,0
68173,0
62373,0
65640,0
68005,0
64015,0
67926,0
59709,0
68007,0
68009,0
80820,0
62910,0
65607,0
66821,0
64136,0
63051,0
62480,0
59181,0
63016,0
68433,0
60060,0
61240,0
60075,0
59873,0
64433,0
67984,0
61176,0
65732,0
66915,0
61884,0
67782,0
60381,0
63055,0
59176,0
65633,0
68525,0
65565,0
65516,0
68531,0
64352,0
64257,0
61998,0
64300,0
65946,0
64175,0
62924,0
66874,0
64111,0
59537,0
66390,0
59707,0
60810,0
64357,0
67080,0
93238,0
67960,0
61680,0
66316,1
66744,1
68297,1
63140,1
62763,1
65116,1
64368,1
59109,1
60693,1
59507,1
68624,1
63803,1
61988,1
60781,1
65139,1
65556,1
67322,1
60905,1
63026,1
63282,1
65029,1
68295,1
60199,1
65071,1
68866,1
64584,1
68862,1
64553,1
62279,1
59966,1
61371,1
65427,1
66567,1
66420,1
68716,1
65395,1
68096,1
68760,1
66276,1
63842,1
60785,1
62878,1
64411,1
67834,1
62744,1
62339,1
60793,1
68594,1
66541,1
62421,1
64355,1
59909,1
68421,1
65619,1
65236,1
69724,1
66438,1
60668,1
67173,1
65737,1
63163,1
62979,1
62971,1
68384,1
59304,1
63497,1
61102,1
60790,1
67183,1
68090,1
59690,1
62634,1
65553,1
61891,1
65492,1
60541,1
62309,1
65405,1
62153,1
67533,1
63511,1
63669,1
65899,1
68641,1
63979,1
64353,1
59929,1
68193,1
66833,1
68514,1
65583,1
65724,1
68417,1
60757,1
65828,1
60031,1
67762,1
67189,1
60453,1
59583,1
61094,1
68564,1
66067,1
59589,1
61858,1
65928,1
63199,1
60831,1
67182,1
61419,1
59413,1
68333,1
68522,1
64625,1
60695,1
62735,1
67836,1
61127,1
63349,1
68802,1
66839,1
62065,1
65062,1
63936,1
59469,1
59711,1
60378,1
65869,1
59067,1
64000,1
66391,1
67390,1
61139,1
66140,1
66734,1
63093,1
62894,1
63328,1
61080,1
63243,1
63531,1
64128,1
64191,1
64695,1
68283,1
68048,1
67402,1
63215,1
59855,1
66943,1
59170,1
61561,1
68112,1
61145,1
63119,1
61903,1
68016,1
68252,1
68435,1
64883,1
59282,1
67785,1
67206,1
66424,1
65210,1
64467,1
64104,1
59477,1
61721,1
59110,1
63580,1
65195,1
59328,1
68511,1
60660,1
59586,1
80817,1
62056,1
60702,1
80818,1
62734,1
66790,1
67906,1
63353,1
59817,1
63613,1
63976,1
64673,1
61553,1
66998,1
68088,1
63261,1
68124,1
63601,1
66720,1
65912,1
66797,1
67176,1
93237,1
61535,1
64839,1
62384,1
62803,1
68512,1
63289,1
65890,1
61107,1
66436,1
68062,1
68050,1
65106,1
65543,1
66917,1
68038,1
59487,1
63292,1
64083,1
59125,1
64444,1
65367,1
59983,1
60836,1
66383,1
68582,1
93239,1
66431,1
69725,1
63056,1
66957,1
61608,1
63286,1
62897,1
62126,1
67261,1
68632,1
63864,1
68046,1
67985,1
66173,1
67910,1
68192,1
62302,1
62131,1
59091,1
67052,1
65630,1
59967,1
65273,1
66439,1
59403,1
62789,1
60901,1
62781,1
61978,1
68221,1
60010,1
60347,1
67306,1
66443,1
