uid,pt
65152,0
60182,0
65526,0
66467,0
61170,0
61637,0
68221,0
62044,0
63114,0
61101,0
60001,0
64514,0
62479,0
60565,0
64879,0
59509,0
59584,0
66711,0
62806,0
63978,0
65029,0
66426,0
65740,0
66124,0
62865,0
65666,0
65587,0
59588,0
64351,0
66830,0
66431,0
67853,0
62400,0
67910,0
66519,0
63268,0
67119,0
60621,0
63309,0
64652,0
60950,0
64984,0
68862,0
64358,0
64360,0
59892,0
65585,0
67362,0
63103,0
65951,0
63056,0
68446,0
61107,0
62291,0
66957,0
61608,0
59590,0
63298,0
61853,0
61980,0
65156,0
67181,0
62712,0
59574,0
67966,0
61285,0
68598,0
66835,0
63286,0
68436,0
62826,0
62489,0
60496,0
63848,0
65411,0
65093,0
59479,0
64284,0
68815,0
62781,0
62751,0
65954,0
64731,0
59965,0
59966,0
61929,0
63576,0
61499,0
60163,0
65106,0
60136,0
63630,0
60058,0
62360,0
61742,0
64144,0
61968,0
67802,0
61181,0
63514,0
63027,0
59674,0
67863,0
65682,0
61255,0
67716,0
61978,0
63037,0
66082,0
65116,0
68050,0
60455,0
61097,0
66831,0
65490,0
66383,0
59636,0
67179,0
60137,0
66746,0
65162,0
60881,0
64478,0
62790,0
60656,0
59182,0
68033,0
62389,0
67117,0
64399,0
65575,0
68632,0
68634,0
60165,0
64618,0
65071,0
62322,0
67983,0
62499,0
69730,0
66765,0
59244,0
62819,0
64026,0
63198,0
66436,0
60572,0
65269,0
68397,0
68159,0
60674,0
59614,0
68069,0
64045,0
63441,0
66407,0
64762,0
62266,0
60117,0
68062,0
59907,0
65129,0
66569,0
64472,0
66413,0
65240,0
66087,0
60792,0
63993,0
60883,0
63138,0
65249,0
64290,0
63203,0
65995,0
64173,0
60749,0
66955,0
62697,0
63946,0
59500,0
69734,0
62329,0
67888,0
60671,0
62366,0
63193,0
63194,0
62328,0
61198,0
61579,0
61895,0
60536,0
60693,0
66477,0
62318,0
59736,0
60347,0
68003,0
62190,0
65886,0
66507,0
63642,0
65800,0
68505,0
65543,0
60007,0
59664,0
67830,0
60010,0
60798,0
62131,0
62796,0
65247,0
66133,0
66917,0
66671,0
67172,0
62109,0
64736,0
66139,0
66550,0
66949,0
67202,0
65286,0
66601,0
68582,0
63162,0
68076,0
60139,0
66675,0
66975,0
63690,0
62388,0
59416,0
60374,0
67301,0
67788,0
66730,0
63636,0
65124,0
59487,0
60548,0
67801,0
60542,0
67306,0
66074,0
66443,0
63200,0
68038,0
67714,0
59431,0
63292,0
63195,0
63682,0
60466,0
65134,0
64083,0
66345,0
59679,0
64519,0
65865,0
66780,0
66434,0
61529,0
59125,0
63644,0
60901,0
62934,0
66354,0
60425,0
65867,0
62238,0
67076,0
61868,0
63210,0
62908,0
59150,0
63023,0
66372,0
66902,0
68173,0
62373,0
65640,0
68005,0
64015,0
67926,0
59709,0
68007,0
68009,0
80820,0
62910,0
65607,0
66821,0
64136,0
65367,0
63051,0
62480,0
59181,0
63016,0
68433,0
60060,0
64444,0
61240,0
60075,0
65675,0
59873,0
59983,0
64433,0
67984,0
61176,0
65732,0
66915,0
60836,0
61884,0
60785,0
65273,0
67782,0
60381,0
63055,0
59176,0
65633,0
64093,0
68525,0
65565,0
65516,0
68531,0
64352,0
64257,0
61998,0
64300,0
65946,0
64175,0
62924,0
66874,0
64111,0
59537,0
66390,0
59707,0
60810,0
64357,0
67080,0
93238,0
67960,0
93239,0
61680,0
59403,0
62789,0
