uid,pt
66316,1
66744,1
68297,1
63140,1
62763,1
65116,1
64368,1
59109,1
60693,1
59507,1
68624,1
63803,1
61988,1
60781,1
65139,1
65556,1
67322,1
60905,1
63026,1
63282,1
65029,1
68295,1
60199,1
65071,1
68866,1
64584,1
68862,1
64553,1
62279,1
59966,1
61371,1
65427,1
66567,1
66420,1
68716,1
65395,1
68096,1
68760,1
66276,1
63842,1
60785,1
62878,1
64411,1
67834,1
62744,1
62339,1
60793,1
68594,1
66541,1
62421,1
64355,1
59909,1
68421,1
65619,1
65236,1
69724,1
66438,1
60668,1
67173,1
65737,1
63163,1
62979,1
62971,1
68384,1
59304,1
63497,1
61102,1
60790,1
67183,1
68090,1
59690,1
62634,1
65553,1
61891,1
65492,1
60541,1
62309,1
65405,1
62153,1
67533,1
63511,1
63669,1
65899,1
68641,1
63979,1
64353,1
59929,1
68193,1
66833,1
68514,1
65583,1
65724,1
68417,1
60757,1
65828,1
60031,1
67762,1
67189,1
60453,1
59583,1
61094,1
68564,1
66067,1
59589,1
61858,1
65928,1
63199,1
60831,1
67182,1
61419,1
59413,1
68333,1
68522,1
64625,1
60695,1
62735,1
67836,1
61127,1
63349,1
68802,1
66839,1
62065,1
65062,1
63936,1
59469,1
59711,1
60378,1
65869,1
59067,1
64000,1
66391,1
67390,1
61139,1
66140,1
66734,1
63093,1
62894,1
63328,1
61080,1
63243,1
63531,1
64128,1
64191,1
64695,1
68283,1
68048,1
67402,1
63215,1
59855,1
66943,1
59170,1
61561,1
68112,1
61145,1
63119,1
61903,1
68016,1
68252,1
68435,1
64883,1
59282,1
67785,1
67206,1
66424,1
65210,1
64467,1
64104,1
59477,1
61721,1
59110,1
63580,1
65195,1
59328,1
68511,1
60660,1
59586,1
80817,1
62056,1
60702,1
80818,1
62734,1
66790,1
67906,1
63353,1
59817,1
63613,1
63976,1
64673,1
61553,1
66998,1
68088,1
63261,1
68124,1
63601,1
66720,1
65912,1
66797,1
67176,1
93237,1
61535,1
64839,1
62384,1
62803,1
68512,1
63289,1
65890,1
61107,1
66436,1
68062,1
68050,1
65106,1
65543,1
66917,1
68038,1
59487,1
63292,1
64083,1
59125,1
64444,1
65367,1
59983,1
60836,1
66383,1
68582,1
93239,1
66431,1
69725,1
63056,1
66957,1
61608,1
63286,1
62897,1
62126,1
67261,1
68632,1
63864,1
68046,1
67985,1
66173,1
67910,1
68192,1
62302,1
62131,1
59091,1
67052,1
65630,1
59967,1
65273,1
66439,1
59403,1
62789,1
60901,1
62781,1
61978,1
68221,1
60010,1
60347,1
67306,1
66443,1
